SISTEM INVENTORY UTAMA & STOCK OPNAME,,,,,,,,,,,,,,,,,,,,,,,,
MASTER DATA INVENTORY,,,,,,,,FLOW LOG (INPUT/OUTPUT),,,,,,,,STOCK OPNAME (AUDIT LOG),,,,,,,,
Kode Part,Nama Part,Stok Awal,Total Masuk,Total Keluar,Stok Akhir Sistem,Stok Fisik Terakhir,Selisih Audit,,Tanggal PO,No PO,Kode Part,Nama Part,Jenis Flow,Jumlah (Qty),Keterangan,,Tanggal Audit,Auditor,Kode Barang,,Stok Sistem,Stok Fisik,Selisih,Keterangan
602002017AA,REAR BUMPER LEFT END BODY,,1,0,1,,,,2026-07-09,,D10J-50221,Part Tidak Ditemukan,Masuk,1,,,,,,,,,,
EQEA-54022852,Part Tidak Ditemukan,,4,0,4,,,,2026-07-09,,D10J-50031,Part Tidak Ditemukan,Masuk,1,,,,,,,,,,
EQEA-5402862,Part Tidak Ditemukan,,4,0,4,,,,2026-07-09,,602001991AA,LWR BODY-FR BUMPER,Masuk,1,,,,,,,,,,
EQEA-5402832,Part Tidak Ditemukan,,4,0,4,,,,2026-07-09,,602001970AA,LWR TRIM PANEL-FR BUMPER,Masuk,3,,,,,,,,,,
EQEA-5402842,FRONT DOOR MOULDING STRIP,,4,0,4,,,,2026-07-09,,F16-2804502CA,REAR LOWER BUMPER,Masuk,2,,,,,,,,,,
EQEA-2803116,Part Tidak Ditemukan,,3,0,3,,,,2026-07-09,,TALANG AIR DASHING,Part Tidak Ditemukan,Masuk,10,,,,,,,,,,
EQEA-2803115,Part Tidak Ditemukan,,3,0,3,,,,2026-07-09,,609001976AA,Part Tidak Ditemukan,Masuk,1,,,,,,,,,,
EQEA-2804114,Part Tidak Ditemukan,,2,0,2,,,,2026-07-09,,609001975AA,Part Tidak Ditemukan,Masuk,1,,,,,,,,,,
EQEA-2804115,Part Tidak Ditemukan,,2,0,2,,,,2026-07-09,,602002018AA,Part Tidak Ditemukan,Masuk,1,,,,,,,,,,
EQEA-5302431A,Part Tidak Ditemukan,,4,0,4,,,,2026-07-09,,602002017AA,REAR BUMPER LEFT END BODY,Masuk,1,,,,,,,,,,
EQEA-5302440,MOULDING FENDER RR RH,,3,0,3,,,,2026-07-09,,52411-0E050,Part Tidak Ditemukan,Masuk,9,"1 pecah, 1 di pak Toni",,,,,,,,,
EQEA-5302441,Part Tidak Ditemukan,,1,0,1,,,,2026-07-09,,602008540AA,UPPER BODY-RR BUMPER,Masuk,1,,,,,,,,,,
EQEA-5302410,Part Tidak Ditemukan,,4,0,4,,,,2026-07-09,,EQEA-54022852,Part Tidak Ditemukan,Masuk,4,,,,,,,,,,
