ATPM,,,,,,,,,,,,,,,,,ATPM,,,,,,,,Non - ATPM,,,,,NON - ATPM,,,,,,,,,,,,
PO Number,PO Date,Spare Part Number,Spare Part Name,Brand Name,Vendor Name,Quality Part,Qty.,ATPM Price,Total ATPM Price,HPP,Total HPP,Total Selling Price,Gross Profit,Gross Profit %,Total Savings,Total Saving Percentage,PO Date - Month,Total Revenue,Total HPP ,Gross Profit,Gross Profit %,Total Savings,AVERAGE of Total Saving Percentage,,PO Date - Month,Total Revenue,Total HPP ,Gross Profit,Gross Profit %,PO Number,PO Date,Spare Part Number,Spare Part Name,Brand Name,Vendor Name,Quality Part,Qty.,HPP (IDR),Total HPP(IDR) ,Total Selling Price,Gross Profit,Gross Profit %
AR260602,6/18/2026,609003300AA,FRONT RIGHT WHEEL ARCH TRIM ,CHERY,Anhui Ruikai,OM,1 SET,"Rp222,000","Rp222,000","Rp134,568","Rp134,568","Rp238,000","Rp103,432",43.46%,"Rp87,432",-7.21%,,,,,,,,,,,,,,CBA260601,6/15/2026,KB7W5215Y,"STAY,LOCK",MAZDA,CHONGBANG ,OM,1,"Rp130,000","Rp130,000","Rp170,632","Rp40,632",23.81%
AR260602,6/18/2026,602006896AA,LWR BODY-FR BUMPER,CHERY,Anhui Ruikai,OM,1 SET,"Rp1,100,000","Rp1,100,000","Rp662,076","Rp662,076","Rp1,020,000","Rp357,924",35.09%,"Rp437,924",7.27%,,,,,,,,,,,,,,CBA260601,6/15/2026,K15653110A,"PANEL,SHROUD",MAZDA,CHONGBANG ,OM,1,"Rp410,000","Rp410,000","Rp2,011,944","Rp1,601,944",79.62%
AR260602,6/18/2026,605000591AA,RR REFLECTOR-RH,CHERY,Anhui Ruikai,OM,1 SET,"Rp88,245","Rp88,245","Rp48,445","Rp48,445","Rp70,000","Rp21,555",30.79%,"Rp39,800",20.68%,,,,,,,,,,,,,,CBA260601,6/15/2026,KB7W53150A,"MEMBER,SHROUD-UPPER",MAZDA,CHONGBANG ,OM,1,"Rp260,000","Rp260,000","Rp626,648","Rp366,648",58.51%
CT260602,6/12/2026,D24H34300C,"ARM(R),LOWER",MAZDA,CT Auto Spare SDN BHD,OL,1 SET,"Rp2,360,000","Rp2,360,000","Rp1,730,000","Rp1,730,000","Rp2,044,125","Rp314,125",15.37%,"Rp630,000",13.38%,,,,,,,,,,,,,,CBA260601,6/15/2026,KB8A501C0B,"PLATE,SET",MAZDA,CHONGBANG ,OM,1,"Rp440,001","Rp440,001","Rp824,208","Rp384,207",46.62%
CT260602,6/12/2026,D24H34350C,"ARM(L),LOWER",MAZDA,CT Auto Spare SDN BHD,OL,1 SET,"Rp2,360,000","Rp2,360,000","Rp1,730,000","Rp1,730,000","Rp2,044,125","Rp314,125",15.37%,"Rp630,000",13.38%,,,,,,,,,,,,,,CBA260601,6/15/2026,PE2713100,"MANIFOLD,INLET",MAZDA,CHONGBANG ,OM,1,"Rp1,780,002","Rp1,780,002","Rp5,754,496","Rp3,974,494",69.07%
AR260602,6/18/2026,609002182AA,RR LOGO,CHERY,Anhui Ruikai,OM,1 SET,"Rp121,767","Rp121,767","Rp64,593","Rp64,593","Rp85,000","Rp20,407",24.01%,"Rp57,174",30.19%,,,,,,,,,,,,,,CBA260601,6/15/2026,PE0113200,"DUCT,FRESH AIR",MAZDA,CHONGBANG ,OM,1,"Rp370,000","Rp370,000","Rp691,592","Rp321,592",46.50%
AR260603,6/22/2026,406000319AA,FR SAFETY BELT LH,CHERY,Anhui Ruikai,OM,1 SET,"Rp1,057,164","Rp1,057,164","Rp448,561","Rp448,561","Rp700,000","Rp251,439",35.92%,"Rp608,603",33.79%,,,,,,,,,,,,,,CBA260601,6/15/2026,PYFV15025,"FAN,ELECTRIC",MAZDA,CHONGBANG ,OM,1,"Rp760,001","Rp760,001","Rp11,709,104","Rp10,949,103",93.51%
AR260603,6/22/2026,406000507AA,FR SAFETY BELT RH,CHERY,Anhui Ruikai,OM,1 SET,"Rp1,196,358","Rp1,196,358","Rp448,561","Rp448,561","Rp700,000","Rp251,439",35.92%,"Rp747,797",41.49%,,,,,,,,,,,,,,CBA260601,6/15/2026,PE0115351A,"TANK,SUB-RADIATOR",MAZDA,CHONGBANG ,OM,1,"Rp170,000","Rp170,000","Rp294,800","Rp124,800",42.33%
AR260603,6/22/2026,406000328AA,RR SAFETY BELT RH,CHERY,Anhui Ruikai,OM,1 SET,"Rp427,572","Rp427,572","Rp208,132","Rp208,132","Rp310,000","Rp101,868",32.86%,"Rp219,440",27.50%,,,,,,,,,,,,,,CBA260601,6/15/2026,KPF156130,FENDER LINER FR RH,MAZDA,CHONGBANG ,OM,1,"Rp125,000","Rp125,000","Rp480,000","Rp355,000",73.96%
TD260604,6/25/2026,12411603429,DINAMO STARTER,BMW,PERFORMANCE MOTORS LIMITED,OL,1 SET,Barang Non ATPM,,"Rp12,045,474","Rp12,045,474","Rp15,000,000","Rp2,954,526",19.70%,,,,,,,,,,,,,,,,CBA260601,6/15/2026,KB8A50717D,INNER BRACKET,MAZDA,CHONGBANG ,OM,1,"Rp140,000","Rp140,000","Rp1,000,000","Rp860,000",86.00%
AR260603,6/22/2026,M11-2916030,REAR TIE ROD ASSY,CHERY,Anhui Ruikai,OM,2 SET,"Rp303,030","Rp606,060","Rp53,827","Rp107,655","Rp220,000","Rp112,345",51.07%,"Rp249,203",63.70%,,,,,,,,,,,,,,TD260603,6/24/2026,PX01102F0A,"PLATE,PLUG COVER",MAZDA,CHONGBANG ,OM,1,"Rp250,000","Rp250,000","Rp800,000","Rp550,000",68.75%
TD260601,6/27/2026,J69-6GN3501080,FR BRAKE PAD,CHERY,Anhui Ruikai,OM,3 SET,"Rp2,664,000","Rp7,992,000","Rp143,540","Rp430,619","Rp1,275,000","Rp844,381",66.23%,"Rp2,520,460",84.05%,,,,,,,,,,,,,,AR260601,6/5/2026,602003098AA,LWR BODY-FR BUMPER,CHERY,Anhui Ruikai,OM,1,"Rp690,784","Rp690,784","Rp2,240,000","Rp1,549,216",69.16%
TD260607,6/30/2026,151000348AA,AIR FILTER ELEMENT,CHERY,Anhui Ruikai,OL,5 SET,"Rp157,509","Rp787,545","Rp66,213","Rp331,063","Rp675,000","Rp343,937",50.95%,"Rp91,296",14.29%,,,,,,,,,,,,,,AR260601,6/5/2026,602003952AA,LH CHOKE PLATE-FR BUMPER,CHERY,Anhui Ruikai,OL,1,"Rp39,473","Rp39,473","Rp80,000","Rp40,527",50.66%
TD260607,6/30/2026,204003099AA,FR BRAKE PAD,CHERY,Anhui Ruikai,OM,2 SET,"Rp911,908","Rp1,823,816","Rp317,821","Rp635,642","Rp1,200,000","Rp564,358",47.03%,"Rp594,087",34.20%,,,,,,,,,,,,,,AR260601,6/5/2026,602003953AA,RH CHOKE PLATE-FR BUMPER,CHERY,Anhui Ruikai,OL,1,"Rp39,473","Rp39,473","Rp80,000","Rp40,527",50.66%
TD260607,6/30/2026,T19-6GN3501080,FR BRAKE PAD,CHERY,Anhui Ruikai,OM,2 SET,"Rp1,024,615","Rp2,049,230","Rp198,638","Rp397,276","Rp1,400,000","Rp1,002,724",71.62%,"Rp825,977",31.68%,,,,,,,,,,,,,,MAD260504,5/28/2026,DFR551W30C,"FENDER(L),OVER-FRT",MAZDA,PT.EUROKARS MOTOR INDONESIA,OL,1,"Rp1,038,365","Rp1,038,365","Rp1,241,000","Rp202,635",16.33%
TD260607,6/30/2026,T15-6GN3501080,FR BRAKE PAD,CHERY,Anhui Ruikai,OM,2 SET,"Rp1,100,000","Rp2,200,000","Rp317,821","Rp635,642","Rp1,400,000","Rp764,358",54.60%,"Rp782,179",36.36%,,,,,,,,,,,,,,TD260705,7/8/2026,KB8NV3290TT,"COVER, UNDER FRONT",MAZDA,PT.EUROKARS MOTOR INDONESIA,OL,1,"Rp1,103,089",,"Rp1,620,000","Rp1,620,000",100.00%
TD260607,6/30/2026,T1EJ-3501080,FR BRAKE PAD,CHERY,Anhui Ruikai,OM,2 SET,"Rp1,336,440","Rp2,672,880","Rp317,821","Rp635,642","Rp1,600,000","Rp964,358",60.27%,"Rp1,018,619",40.14%,,,,,,,,,,,,,,TD260609,6/30/2026,KB8A507K1B,"MOULD(L),FRONT",MAZDA,CHONGBANG ,OM,1,"Rp292,462",,"Rp1,260,000","Rp1,260,000",100.00%
TD260607,6/30/2026,204007078AA,FR BRAKE PAD,CHERY,Anhui Ruikai,OM,2 SET,"Rp1,618,935","Rp3,237,870","Rp397,276","Rp794,552","Rp1,800,000","Rp1,005,448",55.86%,"Rp1,221,659",44.41%,,,,,,,,,,,,,,TD260609,6/30/2026,KB8A507J1B,"MOULD(R),FRONT",MAZDA,CHONGBANG ,OM,1,"Rp292,462",,"Rp1,260,000","Rp1,260,000",100.00%
TD260607,6/30/2026,T1C-3JS3502080,RR BRAKE PAD,CHERY,Anhui Ruikai,OM,2 SET,"Rp899,100","Rp1,798,200","Rp185,395","Rp370,791","Rp1,300,000","Rp929,209",71.48%,"Rp713,705",27.71%,,,,,,,,,,,,,,TD260609,6/30/2026,GMK667UC1 2Y,"SENSOR,ULTRASONIC",MAZDA,CHONGBANG ,OM,1,"Rp215,309",,"Rp1,980,000","Rp1,980,000",100.00%
TD260607,6/30/2026,T15-6GN3502080EP,RR BRAKE PAD,CHERY,Anhui Ruikai,OM,2 SET,"Rp819,692","Rp1,639,384","Rp304,578","Rp609,157","Rp1,300,000","Rp690,843",53.14%,"Rp515,114",20.70%,,,,,,,,,,,,,,TD260609,6/30/2026,KD4767UC5APR,RETAINER,MAZDA,CHONGBANG ,OM,1,"Rp71,770",,"Rp153,000","Rp153,000",100.00%
TD260607,6/30/2026,204003470AA,RR BRAKE PAD,CHERY,Anhui Ruikai,OM,2 SET,"Rp1,017,870","Rp2,035,740","Rp198,638","Rp397,276","Rp1,700,000","Rp1,302,724",76.63%,"Rp819,232",16.49%,,,,,,,,,,,,,,TD260609,6/30/2026,KB8A50717D,INNER BRACKET,MAZDA,CHONGBANG ,OM,1,"Rp140,000",,"Rp720,000","Rp720,000",100.00%
